ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
F35,Nonsymptomatic,9.4,,3.5,6.2,8.7,,,No,26,,Real,
F36,Nonsymptomatic,9.3,,3.4,5.2,7.3,,,No,17,,Real,
F37,Nonsymptomatic,7.9,,2.9,5.1,7,,,No,11,,Real,
F38,Nonsymptomatic,9,,3.2,6.5,6.9,,,No,3,,Real,
F39,Nonsymptomatic,13.6,,6,9.8,15.4,,,No,80,,Real,
F4,Nonsymptomatic,12.9,,4.3,9.3,12.3,,,No,45,,Real,
F40,Nonsymptomatic,7.2,,2.9,4.3,6.5,,,No,5,,Real,
F41,Nonsymptomatic,9.2,,3.3,4.1,5,,,No,0,,Real,
F42,Nonsymptomatic,11,,4.4,6.1,8.5,,,No,22,,Real,
F43,Nonsymptomatic,12.3,,4.2,5.5,8.4,,,No,1,,Real,
F44,Nonsymptomatic,12.4,,4.9,8.7,11,,,No,43,,Real,
F45,Nonsymptomatic,13.6,,5.7,7.7,11.1,,,No,28,,Real,
F46,Nonsymptomatic,9.7,,3.6,6.2,8.9,,,No,18,,Real,
F47,Nonsymptomatic,11.4,,4.5,6.5,7.7,,,No,17,,Real,
F48,Nonsymptomatic,8,,2.7,4.2,6.8,,,No,8,,Real,
F49,Nonsymptomatic,10.7,,4.3,7.5,8.8,,,No,32,,Real,
F5,Nonsymptomatic,9.2,,3.5,7.2,7.5,,,No,20,,Real,
F50,Nonsymptomatic,9.6,,6.6,4.6,5.4,,,No,0,,Real,
F51,Nonsymptomatic,13.5,,6.6,8,11.6,,,No,52,,Real,
F52,Nonsymptomatic,9.9,,4.5,6.8,9.5,,,No,23,,Real,
